Output Column,Canonical Owners,Owner Count,Collision Type,Status,Notes
FVG_BULLISH,fair_value_gap,1,NONE,PASS,No shared canonical output name.
FVG_LOWER,fair_value_gap,1,NONE,PASS,No shared canonical output name.
FVG_UPPER,fair_value_gap,1,NONE,PASS,No shared canonical output name.
GARMAN_KLASS_VOLATILITY,garman_klass_volatility,1,NONE,PASS,No shared canonical output name.
GAUSSIAN_MOVING_AVERAGE,gaussian_moving_average,1,NONE,PASS,No shared canonical output name.
HISTORICAL_VOLATILITY,historical_volatility,1,NONE,PASS,No shared canonical output name.
HMA,hma,1,NONE,PASS,No shared canonical output name.
ICHIMOKU_BASE,ichimoku_cloud,1,NONE,PASS,No shared canonical output name.
ICHIMOKU_CONVERSION,ichimoku_cloud,1,NONE,PASS,No shared canonical output name.
ICHIMOKU_LAGGING,ichimoku_cloud,1,NONE,PASS,No shared canonical output name.
ICHIMOKU_SPAN_A,ichimoku_cloud,1,NONE,PASS,No shared canonical output name.
ICHIMOKU_SPAN_B,ichimoku_cloud,1,NONE,PASS,No shared canonical output name.
INTRADAY_INTENSITY_INDEX,intraday_intensity_index,1,NONE,PASS,No shared canonical output name.
INVERSE_FISHER_RSI,inverse_fisher_rsi,1,NONE,PASS,No shared canonical output name.
INVERSE_FVG_BEARISH,inverse_fair_value_gap,1,NONE,PASS,No shared canonical output name.
INVERSE_FVG_BULLISH,inverse_fair_value_gap,1,NONE,PASS,No shared canonical output name.
INVERSE_FVG_LOWER,inverse_fair_value_gap,1,NONE,PASS,No shared canonical output name.
INVERSE_FVG_UPPER,inverse_fair_value_gap,1,NONE,PASS,No shared canonical output name.
JURIK_MOVING_AVERAGE_APPROXIMATION,jurik_moving_average_approximation,1,NONE,PASS,No shared canonical output name.
KAMA,kama,1,NONE,PASS,No shared canonical output name.
KELTNER_LOWER,keltner_channel,1,NONE,PASS,No shared canonical output name.
KELTNER_MIDDLE,keltner_channel,1,NONE,PASS,No shared canonical output name.
KELTNER_UPPER,keltner_channel,1,NONE,PASS,No shared canonical output name.
