Strategy ID,Strategy Name,Strategy Source,Template Type,Pair,Timeframe,SL %,TP %,ROI %,Profit Factor,Total PnL %,Win Rate %,Max Drawdown %,Trades,Expectancy,Runtime Seconds,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
MRV001_BB20_RSI14_BUY30_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,BNBUSDT,15m,2.5,2.0,-14.45,0.98,-3.5,55.39,-52.62,482.0,-3.0,40.84,12.25,0.0,18.463333333333335,0.0,10.0,40.71333333333334
MRV001_BB20_RSI14_BUY30_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,BNBUSDT,15m,2.5,2.0,-14.45,0.98,-3.5,55.39,-52.62,482.0,-3.0,40.63,12.25,0.0,18.463333333333335,0.0,10.0,40.71333333333334
HYB001_EMA20_200_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/200 RSI 14 Vol 1.2,GENERATED,hybrid,XRPUSDT,15m,1.0,3.0,5.14,1.01,11.0,25.69,-32.23,397.0,1.3,41.0,12.625,5.5,8.563333333333334,3.8850000000000007,10.0,40.57333333333334
MRV001_BB20_RSI14_BUY35_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,SOLUSDT,15m,2.5,2.0,-27.62,0.97,-11.5,55.25,-55.09,829.0,-3.33,41.18,12.125,0.0,18.416666666666664,0.0,10.0,40.541666666666664
MRV001_BB20_RSI14_BUY35_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,SOLUSDT,15m,2.5,2.0,-27.62,0.97,-11.5,55.25,-55.09,829.0,-3.33,31.62,12.125,0.0,18.416666666666664,0.0,10.0,40.541666666666664
bollinger_atr_filter,Bollinger + ATR Volatility Filter,FIXED,fixed,SOLUSDT,15m,2.5,2.0,-30.61,0.97,-14.5,55.19,-65.02,877.0,-3.49,41.63,12.125,0.0,18.396666666666665,0.0,10.0,40.52166666666666
HYB001_EMA20_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.2,GENERATED,hybrid,BNBUSDT,15m,1.0,3.0,12.54,1.04,17.0,26.25,-42.77,339.0,3.7,40.98,13.0,8.5,8.75,0.0,10.0,40.25
BRK001_EMA20_100_ATR14_SL1P5_TP3P0,Generated Breakout EMA 20/100 ATR 14,GENERATED,breakout,BTCUSDT,15m,1.0,2.0,-13.64,0.95,-11.0,32.35,-25.08,374.0,-3.65,41.23,11.875,0.0,10.783333333333333,7.46,10.0,40.11833333333333
BRK001_EMA20_100_ATR14_SL1P5_TP4P0,Generated Breakout EMA 20/100 ATR 14,GENERATED,breakout,BTCUSDT,15m,1.0,2.0,-13.64,0.95,-11.0,32.35,-25.08,374.0,-3.65,40.97,11.875,0.0,10.783333333333333,7.46,10.0,40.11833333333333
HYB001_EMA50_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 50/100 RSI 14 Vol 1.2,GENERATED,hybrid,XRPUSDT,15m,1.0,4.0,7.58,1.02,14.0,20.85,-33.43,331.0,2.29,40.74,12.75,7.000000000000001,6.950000000000001,3.285,10.0,39.985
ema_200_candlestick,EMA 200 Trend + Candlestick Confirmation,FIXED,fixed,XRPUSDT,15m,1.0,4.0,8.19,1.02,17.0,20.75,-37.36,453.0,1.81,68.86,12.75,8.5,6.916666666666666,1.3200000000000012,10.0,39.486666666666665
MRV001_BB20_RSI14_BUY30_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,SOLUSDT,15m,2.0,2.0,-22.94,0.98,-6.0,49.85,-58.72,1003.0,-2.29,41.06,12.25,0.0,16.616666666666667,0.0,10.0,38.86666666666667
MRV001_BB20_RSI14_BUY30_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,SOLUSDT,15m,2.0,2.0,-22.94,0.98,-6.0,49.85,-58.72,1003.0,-2.29,40.97,12.25,0.0,16.616666666666667,0.0,10.0,38.86666666666667
PLB001_EMA20_100_RSI14_BUY40_SL1P0_TP2P0,Generated Pullback EMA 20/100 RSI 40,GENERATED,pullback,BTCUSDT,15m,1.5,4.0,-7.02,0.96,-2.5,26.99,-20.72,163.0,-4.31,32.16,12.0,0.0,8.996666666666666,9.64,8.149999999999999,38.78666666666666
