Rows,Framework,Preparation Ms,Alignment Ms,Framework Decision Ms,Controller Ms,Policy Ms,Serialization Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,State Column Memory Bytes,Instrumentation Enabled,Repeated Indicator Calculations
10000,bollinger_mean_reversion,2.943633,69.599267,837.832402,0.0,0.0,0.0,2830.0729,3533.478,3,1,21719026,False,0
10000,bollinger_squeeze_breakout,3.0216,67.5677,971.876534,0.0,0.0,0.0,2674.926,3738.421,3,1,22948739,False,0
10000,donchian_breakout,3.119633,66.653767,925.983134,0.0,0.0,0.0,2654.335033,3767.422,3,1,21649032,False,0
10000,dual_moving_average_crossover,2.765867,67.633167,1041.512638,0.0,0.0,0.0,2824.712667,3540.183,3,1,21769032,False,0
10000,ema_ribbon_trend,3.098267,65.498833,1058.958303,0.0,0.0,0.0,2857.141567,3500.002,3,1,21639032,False,0
10000,ichimoku_cloud_trading,2.845067,65.5828,959.53237,0.0,0.0,0.0,2756.132067,3628.273,3,1,22427251,False,0
10000,inside_bar_breakout,2.722833,74.7744,1089.018063,0.0,0.0,0.0,2903.544833,3444.066,3,1,22808746,False,0
10000,keltner_channel_breakout,2.836633,66.647333,1105.637803,0.0,0.0,0.0,2830.459767,3532.995,3,1,21719032,False,0
10000,macd_momentum,2.7282,64.933833,1049.486527,0.0,0.0,0.0,2770.3394,3609.666,3,1,21609032,False,0
10000,opening_range_breakout,2.5938,65.083067,2658.914471,0.0,0.0,0.0,4538.120533,2203.555,3,1,22868743,False,0
10000,parabolic_sar_trend,3.128267,70.541633,984.421267,0.0,0.0,0.0,2774.669867,3604.032,3,1,21669032,False,0
10000,rsi_pullback_trend,3.061833,67.9977,929.889534,0.0,0.0,0.0,2642.6143,3784.131,3,1,22788747,False,0
10000,supertrend_trend_following,2.905267,67.333333,1226.7504,0.0,0.0,0.0,3059.108467,3268.926,3,1,22358841,False,0
10000,support_resistance_bounce,3.110033,64.8323,1334.070835,0.0,0.0,0.0,3188.724867,3136.05,3,1,23188771,False,0
10000,triple_screen_trading,5.272167,202.451,1327.112533,0.0,0.0,0.0,3801.809333,2630.327,3,1,25072751,False,0
10000,turtle_trading,2.8768,67.485367,820.470133,0.0,0.0,0.0,2525.379333,3959.801,3,1,21619032,False,0
10000,vwap_mean_reversion,2.870567,63.926033,958.978001,0.0,0.0,0.0,2666.256033,3750.578,3,1,21669032,False,0
10000,zscore_mean_reversion,2.5385,67.998733,885.195927,0.0,0.0,0.0,2596.855067,3850.812,3,1,21689032,False,0
10000,adx_trend_following,2.604167,69.6295,1048.55793,753.348433,697.351833,40.263533,2808.933933,3560.069,3,1,21669032,True,0
10000,atr_volatility_breakout,2.4332,65.5593,1049.971735,789.875867,732.551033,41.323367,2865.626867,3489.638,3,1,21709032,True,0
10000,bollinger_mean_reversion,2.8284,71.544733,698.181603,737.4176,682.646767,39.425933,2429.778133,4115.602,3,1,21719026,True,0
10000,bollinger_squeeze_breakout,2.587333,63.452733,1003.743037,759.6964,704.269767,39.9272,2753.2565,3632.063,3,1,22948739,True,0
10000,donchian_breakout,3.121667,74.849367,905.860569,729.476667,675.789533,38.781967,2614.883833,3824.262,3,1,21649032,True,0
10000,dual_moving_average_crossover,2.6919,65.2473,1030.439233,759.975933,703.6813,40.539267,2801.8682,3569.047,3,1,21769032,True,0
10000,ema_ribbon_trend,2.6836,66.1692,1020.889967,755.0132,699.3349,40.104133,2784.152,3591.758,3,1,21639032,True,0
