Strategy,Pair,Train Start,Train End,Test Start,Test End,Train ROI,Test ROI,Train Win Rate,Test Win Rate,Train PF,Test PF,Walk Forward Score,Status
Candlestick Confirmation + Volume,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-22.08,8.27,31.62,36.27,0.91,1.13,100.0,PASS
Candlestick Confirmation + Volume,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-2.49,-18.99,43.05,35.14,0.99,0.69,57.83,FAIL
Candlestick Confirmation + Volume,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,6.64,-37.04,39.78,30.49,1.02,0.63,54.6,FAIL
Candlestick Confirmation + Volume,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-48.48,8.71,30.33,35.4,0.86,1.09,100.0,PASS
Candlestick Confirmation + Volume,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-11.39,-22.78,33.04,27.47,0.96,0.7,59.01,FAIL
Candlestick Confirmation + Volume,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,59.19,-33.0,38.42,22.95,1.16,0.55,46.79,FAIL
Candlestick Confirmation + Volume,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-11.67,2.06,19.64,21.28,0.96,1.06,100.0,PASS
Candlestick Confirmation + Volume,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-11.61,-20.58,54.69,47.46,0.94,0.72,59.46,FAIL
Candlestick Confirmation + Volume,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,34.14,-39.53,18.2,12.14,1.08,0.64,48.68,FAIL
Candlestick Confirmation + Volume,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-28.86,4.23,48.8,51.61,0.94,1.05,100.0,PASS
Candlestick Confirmation + Volume,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-14.95,-1.18,45.05,45.88,0.96,0.99,70.0,PASS
Candlestick Confirmation + Volume,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,4.01,-32.51,34.46,27.27,1.01,0.69,56.86,FAIL
Candlestick Confirmation + Volume,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-37.43,-8.92,23.26,22.92,0.89,0.87,69.07,FAIL
Candlestick Confirmation + Volume,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-16.06,-28.43,37.82,29.63,0.94,0.65,56.87,FAIL
EMA 200 Trend + Candlestick Confirmation,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,8.95,-12.1,36.14,27.27,1.11,0.73,54.91,FAIL
EMA 200 Trend + Candlestick Confirmation,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,2.2,0.26,34.07,33.78,1.02,1.01,73.09,PASS
EMA 200 Trend + Candlestick Confirmation,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,9.9,-8.13,52.34,41.67,1.08,0.69,53.88,FAIL
EMA 200 Trend + Candlestick Confirmation,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,42.77,-18.25,45.16,30.56,1.22,0.68,50.76,FAIL
EMA 200 Trend + Candlestick Confirmation,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-0.51,8.96,20.34,23.08,1.0,1.17,100.0,PASS
EMA 200 Trend + Candlestick Confirmation,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,7.39,-17.79,21.16,11.36,1.05,0.48,43.17,FAIL
EMA 200 Trend + Candlestick Confirmation,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,36.17,-19.81,34.04,17.86,1.2,0.51,43.08,FAIL
EMA 200 Trend + Candlestick Confirmation,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-3.23,-4.62,28.74,25.0,0.98,0.81,57.74,FAIL
EMA 200 Trend + Candlestick Confirmation,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-23.68,13.96,20.92,31.48,0.77,1.34,100.0,PASS
EMA 200 Trend + Candlestick Confirmation,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,71.23,-21.34,51.7,38.18,1.2,0.72,53.46,FAIL
EMA 200 Trend + Candlestick Confirmation,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,3.56,-6.12,40.98,37.78,1.01,0.89,65.08,FAIL
EMA 200 Trend + Candlestick Confirmation,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-1.51,7.68,33.66,36.23,0.99,1.11,100.0,PASS
EMA 200 Trend + Candlestick Confirmation,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,45.83,-19.4,23.63,15.79,1.19,0.75,49.75,FAIL
EMA 200 Trend + Candlestick Confirmation,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-14.4,-8.44,32.23,30.23,0.94,0.86,66.32,FAIL
EMA 200 Trend + Candlestick Confirmation,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-11.36,-5.83,19.25,18.18,0.94,0.86,66.48,FAIL
EMA 200 Filter + MACD Cross,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,13.37,-12.69,36.69,26.56,1.14,0.71,52.17,FAIL
EMA 200 Filter + MACD Cross,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,2.58,3.62,28.4,30.0,1.03,1.11,100.0,PASS
EMA 200 Filter + MACD Cross,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,9.14,-6.7,44.97,36.67,1.08,0.75,57.75,FAIL
EMA 200 Filter + MACD Cross,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,52.29,-18.25,46.24,30.56,1.27,0.68,49.74,FAIL
EMA 200 Filter + MACD Cross,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,11.96,19.82,35.09,40.96,1.06,1.37,100.0,PASS
EMA 200 Filter + MACD Cross,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,21.15,-16.13,36.03,25.0,1.12,0.64,49.34,FAIL
EMA 200 Filter + MACD Cross,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,40.12,-21.41,34.38,17.24,1.21,0.49,42.33,FAIL
EMA 200 Filter + MACD Cross,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,3.44,-6.4,17.48,13.33,1.02,0.75,57.45,FAIL
