Rows,Framework,Mode,Preparation Ms,Alignment Ms,Framework Decision Ms,Controller Ms,Policy Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,Approximate Input Memory Bytes,Decision Series Memory Bytes,Repeated Indicator Calculations,Phase 24.5 10000-Row Baseline Ms
1000,aroon_trend,stateful_policy,1.457133,6.529367,248.804133,0.0,0.0,451.929267,2212.736,3,1,643000,2158037,0,2916.6099250499997
1000,atr_volatility_breakout,stateful_policy,1.429,6.445467,231.985333,0.0,0.0,440.366967,2270.833,3,1,643000,2170031,0,2916.6099250499997
1000,bollinger_mean_reversion,stateful_policy,1.325733,7.636333,116.929633,0.0,0.0,316.884167,3155.727,3,1,643000,2171025,0,2916.6099250499997
1000,bollinger_squeeze_breakout,stateful_policy,1.392833,6.2338,235.330434,0.0,0.0,451.395567,2215.352,3,1,643000,2293738,0,2916.6099250499997
1000,cci_trend_pullback,stateful_policy,1.6544,6.579733,394.7678,0.0,0.0,635.628533,1573.246,3,1,643000,2277251,0,2916.6099250499997
1000,chandelier_exit_trend,stateful_policy,1.482633,6.9302,263.077066,0.0,0.0,478.299233,2090.741,3,1,643000,2168037,0,2916.6099250499997
1000,connors_rsi_mean_reversion,stateful_policy,1.506667,6.7485,203.250933,0.0,0.0,406.950667,2457.3,3,1,643000,2283038,0,2916.6099250499997
1000,donchian_breakout,stateful_policy,1.477533,6.401567,186.213465,0.0,0.0,397.8409,2513.568,3,1,643000,2164031,0,2916.6099250499997
1000,dual_moving_average_crossover,stateful_policy,1.444,6.4647,238.530366,0.0,0.0,452.2083,2211.37,3,1,643000,2176031,0,2916.6099250499997
1000,elder_impulse_system,stateful_policy,1.367967,6.527133,273.551098,0.0,0.0,490.134267,2040.257,3,1,643000,2167037,0,2916.6099250499997
1000,ema_ribbon_trend,stateful_policy,1.462767,6.791733,238.783233,0.0,0.0,453.164133,2206.706,3,1,643000,2163031,0,2916.6099250499997
1000,engulfing_confirmation_trend,stateful_policy,1.149267,6.185967,254.082865,0.0,0.0,463.364233,2158.129,3,1,643000,2297627,0,2916.6099250499997
1000,heikin_ashi_trend,stateful_policy,1.5163,6.6533,284.527868,0.0,0.0,505.851367,1976.865,3,1,643000,2164037,0,2916.6099250499997
1000,ichimoku_cloud_trading,stateful_policy,1.335433,6.266667,174.981166,0.0,0.0,382.348133,2615.418,3,1,643000,2241672,0,2916.6099250499997
1000,inside_bar_breakout,stateful_policy,1.3822,6.602933,273.943199,0.0,0.0,490.251633,2039.769,3,1,643000,2279745,0,2916.6099250499997
1000,keltner_channel_breakout,stateful_policy,1.356,6.062533,244.374466,0.0,0.0,454.764233,2198.942,3,1,643000,2171031,0,2916.6099250499997
1000,macd_momentum,stateful_policy,1.555433,6.6755,243.5911,0.0,0.0,461.337433,2167.611,3,1,643000,2160031,0,2916.6099250499997
1000,momentum_acceleration_breakout,stateful_policy,1.576033,7.764833,257.036066,0.0,0.0,468.517367,2134.393,3,1,643000,2301623,0,2916.6099250499997
1000,nr4_nr7_volatility_breakout,stateful_policy,1.3326,6.688133,282.543333,0.0,0.0,524.5298,1906.469,3,1,643000,2295089,0,2916.6099250499997
1000,opening_range_breakout,stateful_policy,1.401367,6.7245,467.5649,0.0,0.0,690.524667,1448.174,3,1,643000,2206134,0,2916.6099250499997
1000,parabolic_sar_trend,stateful_policy,1.783867,7.641533,254.344866,0.0,0.0,495.2643,2019.124,3,1,643000,2166031,0,2916.6099250499997
1000,pin_bar_rejection,stateful_policy,1.407767,6.450533,312.1674,0.0,0.0,541.867033,1845.471,3,1,643000,2494585,0,2916.6099250499997
